Name,Compound,Date_Tweeted,Favorite,Negative,Neutral,Positive,Retweet,Tweet,User
Democracy Now!,-0.067,Wed Apr 25 22:25:06 +0000 2018,42,0.795,0.119,0.086,10,Rapper Meek Mill Freed from Prison in Pennsylvania https://t.co/xPrpNazcCy,@democracynow
Democracy Now!,-0.052,Wed Apr 25 21:30:20 +0000 2018,23,0.795,0.116,0.089,24,"We are currently accepting applications for our July-Dec 2018 paid internship program as well as our full-time, yea… https://t.co/MNTm7wwjcM",@democracynow
Democracy Now!,-0.051,Wed Apr 25 20:55:07 +0000 2018,44,0.8,0.114,0.087,28,"Israel Scraps Plans to Forcibly Deport or Imprison 30,000 African Asylum Seekers https://t.co/DCufMyfYKu https://t.co/RkN469gohp",@democracynow
Democracy Now!,-0.06,Wed Apr 25 19:25:09 +0000 2018,7,0.799,0.116,0.085,29,New York City: ICE Arrests 225 People in 6-Day Raid https://t.co/iqYZcsTJyF https://t.co/k51YhuR74e,@democracynow
Democracy Now!,-0.058,Wed Apr 25 18:30:13 +0000 2018,25,0.804,0.113,0.083,10,"Cuba ""chose deliberately and symbolically"" the anniversary of the Bay of Pigs invasion for the transfer of power fr… https://t.co/BSizefofcM",@democracynow
Democracy Now!,-0.069,Wed Apr 25 18:20:13 +0000 2018,48,0.804,0.115,0.081,22,"Former Guantánamo prisoner @Moazzam Begg: ""I’m completely against Western intervention because I have tasted firsth… https://t.co/DzwpSixLKz",@democracynow
Democracy Now!,-0.074,Wed Apr 25 17:55:07 +0000 2018,27,0.804,0.116,0.079,12,Lawmakers Suspend Confirmation Hearing for VA Secretary Nominee Ronny Jackson https://t.co/ZtoXoQyusC https://t.co/qCfH2LaSTe,@democracynow
Democracy Now!,-0.079,Wed Apr 25 17:10:16 +0000 2018,3,0.806,0.116,0.078,4,"Never miss a story! Subscribe today to our Daily News Digest, and get Democracy Now! stories sent directly to your… https://t.co/iXAgFugqny",@democracynow
Democracy Now!,-0.077,Wed Apr 25 16:25:08 +0000 2018,52,0.81,0.114,0.076,21,Federal Judge: U.S. Must Continue DACA Program https://t.co/AltDCk79qx https://t.co/IFqHBWWa7w,@democracynow
Democracy Now!,-0.06,Wed Apr 25 16:20:12 +0000 2018,101,0.807,0.112,0.081,82,"Arizona Reproductive Justice Activist, Now Free from ICE Jail, Says She Was Targeted for Activism… https://t.co/UVA1eLKzqU",@democracynow
Democracy Now!,-0.059,Wed Apr 25 16:00:24 +0000 2018,16,0.811,0.109,0.08,28,How VP Mike Pence Enshrined Life-Threatening Catholic Hospital Religious Practices into Indiana Law… https://t.co/Ac24yWfKLU,@democracynow
Democracy Now!,-0.058,Wed Apr 25 15:51:36 +0000 2018,10,0.815,0.107,0.078,9,"🔊 On today's show: @jabdi on the Iran nuclear deal; Blake Norton, @SophieNovack and @amylittlefield on ""fetal buria… https://t.co/tOpVTruFqX",@democracynow
Democracy Now!,-0.065,Wed Apr 25 15:40:13 +0000 2018,12,0.815,0.109,0.077,21,Texas Mother Recalls Being Forced to Bury Fetal Remains After Miscarriage in “Horrific” Ordeal… https://t.co/xg9pDcKoUA,@democracynow
Democracy Now!,-0.064,Wed Apr 25 15:20:10 +0000 2018,11,0.818,0.107,0.075,19,Trump Decries Iran Nuclear Deal as He Fills Cabinet with Advocates Pushing Regime Change in Tehran… https://t.co/aU5q7FjAai,@democracynow
Democracy Now!,-0.059,Wed Apr 25 14:44:41 +0000 2018,6,0.819,0.105,0.077,14,Watch today's top U.S. and world headlines: https://t.co/MVpfuXLf5Y #Syria #DACA #MeekMill,@democracynow
Democracy Now!,-0.05,Wed Apr 25 14:10:16 +0000 2018,80,0.819,0.103,0.078,37,"Senate candidate @xychelsea on U.S. policy toward Syria: ""You don’t bring humanitarian relief by sending in missile… https://t.co/qiTrDf4ljh",@democracynow
Democracy Now!,-0.04,Wed Apr 25 13:06:54 +0000 2018,44,0.82,0.101,0.08,46,We're extending our conversation after the show with reproductive justice &amp; immigrant rights activist Alejandra Pab… https://t.co/OlBXsrlIZr,@democracynow
Democracy Now!,-0.042,Wed Apr 25 13:00:46 +0000 2018,50,0.815,0.103,0.081,33,"""Catholic hospitals impose these religious beliefs on patients, often causing great harm and trauma,"" says… https://t.co/R8AnIYwgrL",@democracynow
Democracy Now!,-0.047,Wed Apr 25 12:58:56 +0000 2018,31,0.816,0.104,0.08,30,"Blake Norton, who was coerced into burying the fetal remains after her miscarriage: ""In that moment of my personal… https://t.co/9vcYQyXaTO",@democracynow
Democracy Now!,-0.046,Wed Apr 25 12:55:06 +0000 2018,35,0.819,0.102,0.079,42,"🔴 Now at https://t.co/Xup8cdtnFB: We're speaking with @amylittlefield of @Rewire_News, Texas mother Blake Norton &amp;… https://t.co/TxE5rb9ISX",@democracynow
Democracy Now!,-0.046,Wed Apr 25 12:44:00 +0000 2018,0,0.822,0.1,0.077,13,"RT @amylittlefield: I'll be on @democracynow between 8-9 am ET this morning talking about Catholic hospitals, religious imposition, and Mik…",@democracynow
Democracy Now!,-0.045,Wed Apr 25 12:43:44 +0000 2018,25,0.825,0.099,0.076,16,"""So what we have now is an attempt, at least, by Pompeo or Bolton or Trump, to try to 'fix' this [Iran] deal. This… https://t.co/81GsUPp0kC",@democracynow
Democracy Now!,-0.044,Wed Apr 25 12:43:43 +0000 2018,20,0.828,0.097,0.075,16,"""Why on earth would Iran subject itself to new negotiations?"" asks @jabdi. ""If U.S.-imposed Iraq-style regime chang… https://t.co/41QSncYWWQ",@democracynow
Democracy Now!,-0.036,Wed Apr 25 12:34:08 +0000 2018,55,0.828,0.096,0.076,46,"""All the indications right now are that Trump is planning to leave"" the Iran nuclear agreement, says @jabdi. ""Much… https://t.co/8XSqeVMSbJ",@democracynow
Democracy Now!,-0.025,Wed Apr 25 11:57:28 +0000 2018,33,0.826,0.095,0.079,19,"Also today: Reproductive justice &amp; immigrant rights activist Alejandra Pablos of @NLIRH, freed last week from ICE d… https://t.co/sDkIL6L1oM",@democracynow
Democracy Now!,-0.024,Wed Apr 25 11:57:28 +0000 2018,11,0.829,0.094,0.078,16,"Then—We go to Texas, where a law forces women to cremate or bury fetal remains after a miscarriage or abortion.… https://t.co/kRSVEXQzra",@democracynow
Democracy Now!,-0.024,Wed Apr 25 11:57:27 +0000 2018,18,0.831,0.092,0.076,13,TODAY: @NIACAction's @jabdi on Trump's opposition to the Iran nuclear deal &amp; French president Emmanuel Macron's sug… https://t.co/ziKmaFgmt6,@democracynow
Democracy Now!,-0.029,Wed Apr 25 10:50:09 +0000 2018,12,0.831,0.093,0.075,8,George H. W. Bush Hospitalized One Day After Barbara Bush’s Funeral https://t.co/1y7OwXntQl,@democracynow
Democracy Now!,-0.026,Wed Apr 25 09:25:05 +0000 2018,22,0.825,0.095,0.079,40,Greece: Neo-Nazis Attack Peaceful Demonstration of Asylum Seekers https://t.co/UO4bsjWSQO,@democracynow
Democracy Now!,-0.026,Wed Apr 25 08:40:06 +0000 2018,56,0.828,0.094,0.078,54,"""Heavily armored Israeli soldiers with sniper rifles at hundreds of meters are picking off, systematically, Palesti… https://t.co/GdLFSHdbdT",@democracynow
Democracy Now!,-0.037,Wed Apr 25 08:00:25 +0000 2018,11,0.823,0.1,0.077,3,Suspected Gunman in Waffle House Massacre Arraigned on Murder Charges https://t.co/YBZxPO8y6R,@democracynow
Democracy Now!,-0.044,Wed Apr 25 06:35:04 +0000 2018,27,0.821,0.103,0.076,14,Armenia: Prime Minister Serzh Sargsyan Resigns Amid Mass Protests https://t.co/QJzic1TNNv,@democracynow
Democracy Now!,-0.053,Wed Apr 25 05:10:04 +0000 2018,77,0.82,0.106,0.075,158,"Tucson, AZ: Murder Acquittal for Border Agent Who Shot Mexican Teen https://t.co/2vrrIxt3C2 #JoséAntonioRodríguez #JusticeForJose",@democracynow
Democracy Now!,-0.061,Wed Apr 25 04:30:11 +0000 2018,159,0.82,0.107,0.074,121,"The family of Saheed Vassell, an unarmed African-American man who was shot dead by NYPD on April 5, is calling for… https://t.co/57RsVyNdFa",@democracynow
Democracy Now!,-0.07,Wed Apr 25 03:40:04 +0000 2018,33,0.816,0.111,0.073,36,White House Defends Trump Tweet Condemned as Racist Toward Immigrants https://t.co/gOR2Sojoz7,@democracynow
Democracy Now!,-0.074,Wed Apr 25 02:15:04 +0000 2018,17,0.816,0.113,0.072,36,French Parliament Advances Immigration Bill Restricting Asylum Seekers https://t.co/mOqlCESIXU,@democracynow
Democracy Now!,-0.064,Wed Apr 25 00:50:05 +0000 2018,7,0.815,0.111,0.074,3,Democracy Now! is giving away free gear to one new Daily Digest subscriber each day this week! Subscribe here: https://t.co/qG3IIyc6hX,@democracynow
Democracy Now!,-0.057,Wed Apr 25 00:50:04 +0000 2018,7,0.814,0.11,0.077,6,Trumps Welcome French President Macron for Official State Visit https://t.co/W5Q9Kor0C7,@democracynow
Democracy Now!,-0.061,Tue Apr 24 23:25:05 +0000 2018,24,0.814,0.111,0.076,10,Veterans Affairs Nomination of Ronny Jackson in Doubt over Alleged “Improper Conduct” https://t.co/i1Ztlo6dvj,@democracynow
Democracy Now!,-0.054,Tue Apr 24 23:00:49 +0000 2018,34,0.813,0.11,0.077,25,"This week we spoke with historian Rashid Khalidi about the ""Great March of Return"" protests in Gaza: https://t.co/ZzJYU0vYc1",@democracynow
Democracy Now!,-0.053,Tue Apr 24 22:00:18 +0000 2018,115,0.815,0.109,0.076,99,109 Retired Military Leaders Oppose Gina Haspel to Head CIA https://t.co/2OuLYcZ0h0,@democracynow
Democracy Now!,-0.063,Tue Apr 24 21:06:55 +0000 2018,0,0.813,0.112,0.075,142,"RT @shireen818: ICYMI: Here's my interview with @democracynow this morning.

No End in Sight for US-Backed #Yemen War as Airstrike Kills At…",@democracynow
Democracy Now!,-0.06,Tue Apr 24 20:30:20 +0000 2018,8,0.813,0.11,0.076,16,Senate Committee Recommends Mike Pompeo for Secretary of State https://t.co/UMr7SyGeWv,@democracynow
Democracy Now!,-0.065,Tue Apr 24 20:06:16 +0000 2018,84,0.814,0.111,0.075,86,".@shireen818: Despite orchestrating ""extreme suffering"" in Yemen, Saudi Crown Prince Mohammad bin Salman went ""virt… https://t.co/e7VD46N6DU",@democracynow
Democracy Now!,-0.072,Tue Apr 24 19:05:11 +0000 2018,8,0.812,0.113,0.074,9,"Toronto Driver Plows into Pedestrians, Killing 10 and Injuring 15 https://t.co/ktAYWXwKus #TorontoAttack",@democracynow
Democracy Now!,-0.078,Tue Apr 24 18:50:12 +0000 2018,72,0.812,0.114,0.074,42,"""The NYPD, they murdered Saheed, and they put out video of Saheed's action. We want to see the action of the police… https://t.co/P8AAtdomKf",@democracynow
Democracy Now!,-0.083,Tue Apr 24 17:40:08 +0000 2018,41,0.812,0.115,0.073,61,"Yemen: U.S.-Backed, Saudi-Led Airstrike Kills At Least 20 at Wedding https://t.co/LmlkFP0gHa #Hajjah",@democracynow
Democracy Now!,-0.086,Tue Apr 24 17:35:08 +0000 2018,41,0.81,0.117,0.074,38,"Activists Demand Release of Manuel Duran, Prominent Latino Journalist in Memphis Jailed by ICE… https://t.co/xElCZqbydq",@democracynow
Democracy Now!,-0.078,Tue Apr 24 17:15:17 +0000 2018,35,0.809,0.115,0.075,20,The Untold Story of How Fidel Castro’s Love Affair with ABC Journalist Altered U.S.-Cuban Relations… https://t.co/yM0tF1uzmm,@democracynow
Democracy Now!,-0.074,Tue Apr 24 16:55:09 +0000 2018,13,0.81,0.114,0.076,14,"As Cuba Gains a New President, Raúl Castro Steps Back, Not Down, from Power https://t.co/PXSD7SvHKU https://t.co/91MtbTepZI",@democracynow
Democracy Now!,-0.082,Tue Apr 24 16:35:12 +0000 2018,52,0.808,0.117,0.075,77,"No End in Sight for US-Backed Yemen War as Airstrike Kills At Least 20, Including Bride, at Wedding… https://t.co/mr4hm9T0Fy",@democracynow
Democracy Now!,-0.079,Tue Apr 24 14:20:32 +0000 2018,8,0.808,0.116,0.076,11,Watch today's top U.S. and world headlines: https://t.co/vRUYMwgwwG #Yemen #Toronto #TravisReinking,@democracynow
Democracy Now!,-0.078,Tue Apr 24 13:20:13 +0000 2018,71,0.81,0.114,0.075,57,"""As we speak today, people are in complete denial of what is taking place"" in Syria, says @Moazzam_Begg: https://t.co/UzWYKX14Se",@democracynow
Democracy Now!,-0.083,Tue Apr 24 13:03:00 +0000 2018,26,0.809,0.116,0.075,24,"""Manuel's story is incredibly important on an individual level but it also highlights some serious problem with due… https://t.co/4iIXdAEyxt",@democracynow
Democracy Now!,-0.089,Tue Apr 24 13:01:00 +0000 2018,48,0.808,0.117,0.075,49,"Manuel Duran, a Tennessee journalist arrested by ICE who faces possible deportation, is a victim of ""Trump's deport… https://t.co/WRtBTspWgT",@democracynow
Democracy Now!,-0.095,Tue Apr 24 12:57:02 +0000 2018,12,0.808,0.118,0.074,10,"Kornbluh on ABC journalist Lisa Howard's secret liaison with Fidel Castro: ""Fidel was just dismissed as the devil i… https://t.co/2LkoWVJ9oV",@democracynow
Democracy Now!,-0.089,Tue Apr 24 12:46:47 +0000 2018,53,0.809,0.117,0.075,21,"Peter Kornbluh responds to Trump's comment that the U.S. is ""taking care"" of Cuba after Miguel Díaz-Canel's electio… https://t.co/KRMbsSES35",@democracynow
Democracy Now!,-0.095,Tue Apr 24 12:40:46 +0000 2018,58,0.809,0.117,0.074,73,"The airstrike on a wedding in Hajjah on Sunday that killed 20 people occurred ""nowhere near"" the front lines,… https://t.co/wx4khbgmr4",@democracynow
Democracy Now!,-0.09,Tue Apr 24 12:39:02 +0000 2018,107,0.809,0.116,0.074,113,"From Obama to Trump, Saudi Arabia has had extensive U.S. support in Yemen, says @shireen818. ""They rely on countrie… https://t.co/PCkGQdJGzZ",@democracynow
Democracy Now!,-0.09,Tue Apr 24 11:50:26 +0000 2018,15,0.809,0.116,0.075,25,"Then—A prominent Latino journalist in Memphis, Manuel Duran, has been detained by ICE &amp; faces possible deportation.… https://t.co/W5hs5TUT2y",@democracynow
CNN,0.0,Thu Apr 26 23:13:44 +0000 2018,17,1.0,0.0,0.0,8,When kids take over the White House press briefing https://t.co/Yb9CbSDhQg https://t.co/NONtYhPeeA,@CNN
CNN,-0.201,Thu Apr 26 23:12:41 +0000 2018,0,0.948,0.052,0.0,11,"RT @OutFrontCNN: ""All of this is going to come back and haunt him"" says former Nixon WH Counsel John Dean about President Trump's interview…",@CNN
CNN,-0.021,Thu Apr 26 23:12:15 +0000 2018,50,0.922,0.035,0.043,16,Giving the antibiotic azithromycin twice a year to young children in sub-Saharan Africa reduced childhood deaths by… https://t.co/7uQFmrOT7Y,@CNN
CNN,-0.015,Thu Apr 26 23:08:03 +0000 2018,156,0.941,0.026,0.032,31,Illinois Democratic Sen. Tammy Duckworth returned to the Senate floor with her newborn baby to cast a vote -- most… https://t.co/6thPmJcmGL,@CNN
CNN,0.139,Thu Apr 26 22:56:04 +0000 2018,237,0.859,0.041,0.099,80,"The Marvel Cinematic Universe is more than just action-packed fighting, cool super suits and memorable one-liners.… https://t.co/FbVlbcEfGd",@CNN
CNN,0.116,Thu Apr 26 22:51:05 +0000 2018,113,0.883,0.034,0.083,80,"One in 59 US children has autism, according to a new CDC report https://t.co/8W88txds5V https://t.co/7nSgLJrDJb",@CNN
CNN,0.099,Thu Apr 26 22:46:07 +0000 2018,156,0.899,0.03,0.071,93,South Korea's President Moon Jae-in and North Korean leader Kim Jong Un will meet for the first time in more than a… https://t.co/AY4gP633Vm,@CNN
CNN,0.059,Thu Apr 26 22:45:01 +0000 2018,241,0.901,0.037,0.062,50,A judge has dismissed a lawsuit by a man who claimed he was unfairly kicked out of a New York City bar for wearing… https://t.co/QEKfmkuPbF,@CNN
CNN,0.003,Thu Apr 26 22:43:50 +0000 2018,168,0.893,0.052,0.055,61,"So, Scott Pruitt totally lied about raises for his employees | Analysis by @CillizzaCNN https://t.co/eyscSzo291 https://t.co/iOYsEPA4as",@CNN
CNN,0.044,Thu Apr 26 22:40:43 +0000 2018,365,0.887,0.046,0.067,242,"What happens now that comedian Bill Cosby has been convicted?

- He's allowed to go home
- He can't leave Pennsylva… https://t.co/Hq73qlSsGL",@CNN
CNN,0.103,Thu Apr 26 22:34:53 +0000 2018,74,0.875,0.042,0.083,47,"The United States has effectively closed its doors on Huawei and ZTE, two of China's biggest tech companies.

That'… https://t.co/xOoiY3sdx6",@CNN
CNN,0.036,Thu Apr 26 22:33:06 +0000 2018,71,0.867,0.057,0.076,44,Nine teenagers have died and one is missing from an organized trip after flash floods swept across Israel and the W… https://t.co/aH57Yk7iJp,@CNN
CNN,0.033,Thu Apr 26 22:27:05 +0000 2018,211,0.877,0.053,0.07,71,"For the first time in over a decade, the leaders of a divided Korea will sit down to negotiate an end to a decades-… https://t.co/F9u8nMRWKd",@CNN
CNN,-0.019,Thu Apr 26 22:19:03 +0000 2018,299,0.867,0.068,0.065,68,"The parents of Otto Warmbier have filed a wrongful death lawsuit against the North Korean government, charging that… https://t.co/PIzCsodm61",@CNN
CNN,-0.047,Thu Apr 26 22:18:07 +0000 2018,0,0.868,0.072,0.061,44,"RT @CNNSitRoom: “You are unfit to hold public office and undeserving of the public trust.” Lawmakers grill Scott Pruitt, the embattled admi…",@CNN
CNN,-0.044,Thu Apr 26 22:15:17 +0000 2018,176,0.876,0.067,0.057,81,The White House releases photos of the meeting between newly confirmed US Secretary of State Mike Pompeo and North… https://t.co/OvZBxcA2rm,@CNN
CNN,-0.022,Thu Apr 26 22:07:40 +0000 2018,115,0.872,0.063,0.065,99,Amazon is raising the price of Amazon Prime from $99 to $119 per year https://t.co/O8ZVUO8flb https://t.co/NSgFxwaiDA,@CNN
CNN,-0.02,Thu Apr 26 22:06:45 +0000 2018,222,0.879,0.06,0.061,65,"California's DNA database law drew the wrath of privacy rights groups, but it may have helped nab the Golden State… https://t.co/6ERsSKCQPM",@CNN
CNN,-0.019,Thu Apr 26 22:05:20 +0000 2018,63,0.885,0.057,0.058,31,"Attorney General Jeff Sessions told a House panel that ""this thing needs to conclude,"" potentially in reference to… https://t.co/O0EIilLFGq",@CNN
CNN,0.004,Thu Apr 26 22:04:11 +0000 2018,84,0.884,0.054,0.063,78,"The Trump administration has announced an end to a protected status for roughly 9,000 Nepalese immigrants that has… https://t.co/G8QNEJOSfM",@CNN
CNN,-0.008,Thu Apr 26 22:02:57 +0000 2018,112,0.879,0.057,0.064,56,Wells Fargo may be in even more trouble: The federal government has urged the embattled bank's board of directors t… https://t.co/ggMnP3sUu7,@CNN
CNN,-0.008,Thu Apr 26 22:00:28 +0000 2018,114,0.885,0.055,0.061,44,Here's how an Alabama newspaper marked the opening of the nation's first lynching memorial https://t.co/gOtTDIsKQ9 https://t.co/MGeGqksQ5c,@CNN
CNN,-0.008,Thu Apr 26 21:59:10 +0000 2018,76,0.89,0.052,0.058,24,Domino's stock surged 8% to a new record after reporting earnings and sales that topped forecasts… https://t.co/kelLbGlv84,@CNN
CNN,0.023,Thu Apr 26 21:54:27 +0000 2018,212,0.882,0.05,0.068,83,"The 53 most stunning lines from Donald Trump's ""Fox &amp; Friends"" interview | Analysis by @CillizzaCNN… https://t.co/FmkePwGl4E",@CNN
CNN,0.031,Thu Apr 26 21:52:21 +0000 2018,109,0.881,0.048,0.07,37,6 new Gmail features worth trying -- and how to get them now https://t.co/6VZAKhK4Zd https://t.co/78MRT5gYKF,@CNN
CNN,0.03,Thu Apr 26 21:49:06 +0000 2018,835,0.886,0.046,0.068,118,"Colin Jost and Michael Che, anchors of ""Weekend Update"" on ""SNL,"" will co-host this year's Emmy Awards… https://t.co/0H5depY27E",@CNN
CNN,0.056,Thu Apr 26 21:31:08 +0000 2018,163,0.881,0.045,0.075,49,"“How many women will it take before one woman is believed against the denials of a rich, powerful, famous man? Now… https://t.co/YQaJU9YY6S",@CNN
CNN,0.054,Thu Apr 26 21:28:30 +0000 2018,265,0.885,0.043,0.072,112,"What did President Trump get first lady Melania Trump for her birthday? 

""You know I'm very busy to be running out… https://t.co/WfTRItopSW",@CNN
CNN,0.078,Thu Apr 26 21:18:01 +0000 2018,619,0.88,0.041,0.078,189,"“How many women will it take before one woman is believed against the denials of a rich, powerful, famous man? Now… https://t.co/3KZsd6U0LA",@CNN
CNN,0.085,Thu Apr 26 21:09:28 +0000 2018,293,0.877,0.043,0.08,104,Union gives Broward County sheriff a vote of no confidence and will ask the Florida governor to remove him over his… https://t.co/s4mh3YIUUe,@CNN
CNN,0.082,Thu Apr 26 21:02:26 +0000 2018,2447,0.881,0.042,0.077,673,Teachers in Arizona and Colorado took to the streets to rally for more school funding https://t.co/5aTzLFamBm https://t.co/UITPxb8EYV,@CNN
CNN,0.083,Thu Apr 26 20:50:30 +0000 2018,375,0.876,0.045,0.079,116,"Today, all over Arizona, teachers are walking out to protest for better pay and learning conditions for their stude… https://t.co/eSmf8nhVuV",@CNN
CNN,0.076,Thu Apr 26 20:36:35 +0000 2018,118,0.874,0.047,0.079,65,A batch of recovered text messages between two top FBI employees who have come under scrutiny for criticizing then-… https://t.co/MkPf2WFpIm,@CNN
CNN,0.073,Thu Apr 26 20:27:26 +0000 2018,945,0.878,0.046,0.077,267,"Time's up, Bill Cosby https://t.co/oc7zHeO6Tn (via @CNNOpinion) https://t.co/QMId3VuzBc",@CNN
CNN,0.053,Thu Apr 26 20:22:11 +0000 2018,353,0.876,0.049,0.075,95,"""Probably the worst thing that I've ever had to do is tell a 15-year-old's mother that her son was killed."" This do… https://t.co/zNM6R9Lsdg",@CNN
CNN,0.052,Thu Apr 26 20:14:02 +0000 2018,589,0.88,0.048,0.072,163,"""The arc of the moral universe is long, but today it has bent towards justice."" Bill Cosby's accusers react to the… https://t.co/HlGm7i81GS",@CNN
CNN,0.061,Thu Apr 26 19:57:13 +0000 2018,304,0.879,0.046,0.074,155,"As a prosecutor seeks to revoke Bill Cosby's $1 million bail, the 80-year-old comedian curses at him… https://t.co/M7sm7OHATq",@CNN
CNN,0.059,Thu Apr 26 19:48:46 +0000 2018,393,0.882,0.045,0.072,92,"Cosby accuser Andrea Constand ""needs to be heralded for what she has done,"" says her attorney, Dolores Troiani, aft… https://t.co/n3QtaOL2hg",@CNN
CNN,0.064,Thu Apr 26 19:45:17 +0000 2018,0,0.878,0.048,0.074,38,"RT @CNNnewsroom: ""I'm stunned ... I'm elated for all the women,"" says Cosby accuser Patricia Steuer after Bill Cosby is found guilty in ind…",@CNN
CNN,0.048,Thu Apr 26 19:39:17 +0000 2018,5977,0.871,0.053,0.075,1716,"Immediately after learning that Bill Cosby was convicted of indecent assault, some accusers cry, hug, and celebrate… https://t.co/d2uzVdSVYx",@CNN
CNN,0.038,Thu Apr 26 19:25:28 +0000 2018,462,0.869,0.056,0.076,161,"""Money and power, or who you are, will not stop us from a criminal investigation or prosecuting a case."" Kevin Stee… https://t.co/VK73ypGHkp",@CNN
CNN,0.033,Thu Apr 26 19:09:33 +0000 2018,728,0.87,0.056,0.074,232,Bill Cosby was not ordered to stay in jail before his sentencing; accuser Lili Bernard says that “he should go stra… https://t.co/U0kJcLdFfM,@CNN
CNN,0.05,Thu Apr 26 19:02:56 +0000 2018,500,0.867,0.055,0.079,154,“The jury has restored my faith in humanity. I feel like I’m dreaming and I need to be pinched to be woken.” Bill C… https://t.co/nt872iudkR,@CNN
CNN,0.059,Thu Apr 26 18:44:13 +0000 2018,0,0.867,0.054,0.079,241,"RT @CNNSitRoom: ""Today, this jury has shown that what the 'Me Too' movement is saying is that women are worthy of being believed."" One of B…",@CNN
CNN,0.042,Thu Apr 26 18:43:12 +0000 2018,343,0.864,0.059,0.077,190,Bill Cosby’s attorney: “We are very disappointed by the verdict… the fight is not over.” https://t.co/7Me50zypbC https://t.co/4lyHJYoR0k,@CNN
CNN,0.034,Thu Apr 26 18:30:26 +0000 2018,0,0.862,0.061,0.078,103,"RT @CNNSitRoom: It’s a ""victory for all sexual assault survivors, female and male, it’s a victory for womanhood. I thank the jury so much f…",@CNN
CNN,0.017,Thu Apr 26 18:15:08 +0000 2018,918,0.859,0.064,0.076,560,Bill Cosby walks out of the courtroom after he was found guilty on all three counts in his indecent assault trial… https://t.co/giwKCvOTKk,@CNN
CNN,0.005,Thu Apr 26 17:57:10 +0000 2018,1598,0.859,0.067,0.074,913,BREAKING: Bill Cosby has been convicted of all three counts against him in his indecent assault trial… https://t.co/xtimJ9CZ3S,@CNN
CNN,-0.004,Thu Apr 26 17:50:10 +0000 2018,490,0.855,0.069,0.076,271,"JUST IN: The jury in the Bill Cosby indecent assault trial has reached a verdict, according to media reports… https://t.co/FIVe71wHje",@CNN
CNN,-0.004,Thu Apr 26 17:42:33 +0000 2018,992,0.858,0.068,0.074,557,"This teacher takes home just $320/week — less than her teen daughter makes as a nanny.

Arizona teachers explain wh… https://t.co/i7Q8gYVhd0",@CNN
CNN,0.004,Thu Apr 26 17:32:32 +0000 2018,126,0.858,0.066,0.076,54,"President Trump will visit the United Kingdom in July, the White House and Downing Street announce… https://t.co/XhSYk9zHK7",@CNN
CNN,0.004,Thu Apr 26 17:14:12 +0000 2018,172,0.861,0.065,0.074,88,JUST IN: The Senate confirms Mike Pompeo as President Trump's second secretary of state https://t.co/17dFuL4HKk https://t.co/pJhkF21SDW,@CNN
CNN,0.004,Thu Apr 26 17:00:25 +0000 2018,530,0.863,0.064,0.073,232,Sweden has opened the world's first public road that allows electric cars to recharge while driving… https://t.co/kLpOHOCfMp,@CNN
CNN,0.0,Thu Apr 26 16:47:23 +0000 2018,545,0.864,0.064,0.071,375,EPA Administrator Scott Pruitt says the controversial sound proof booth installed at his office is not the type use… https://t.co/CBwH4rWyQL,@CNN
CNN,-0.011,Thu Apr 26 16:36:22 +0000 2018,402,0.862,0.068,0.07,97,These kids were being bullied. Then a photographer transformed them into Avengers superheroes… https://t.co/SpTOH0vdax,@CNN
CNN,-0.011,Thu Apr 26 16:20:06 +0000 2018,180,0.865,0.066,0.069,64,French President Macron concedes it's going to take way more work to keep US President Trump in the Iran nuclear de… https://t.co/zc4IOY7bxd,@CNN
CNN,-0.015,Thu Apr 26 16:10:02 +0000 2018,103,0.862,0.068,0.07,75,"Some classes of drugs used to treat depression, Parkinson's and urinary incontinence are tied to a 30% higher demen… https://t.co/2lzjuvy4K7",@CNN
CNN,-0.026,Thu Apr 26 16:00:16 +0000 2018,112,0.86,0.071,0.068,43,These are the possible crimes linked to the alleged Golden State Killer https://t.co/5w9xZeZbKt https://t.co/4JNOhKAwrp,@CNN
CNN,-0.033,Thu Apr 26 15:50:09 +0000 2018,231,0.86,0.072,0.067,184,"""Incel"" is short for ""involuntarily celibate."" It's a movement of men who believe they have been unfairly denied se… https://t.co/ghHsCExBWG",@CNN
CNN,-0.027,Thu Apr 26 15:40:06 +0000 2018,300,0.861,0.071,0.068,128,South Korea's foreign minister says she believes President Trump is largely responsible for bringing North Korean l… https://t.co/X4Gbow2Fql,@CNN
CNN,-0.027,Thu Apr 26 15:30:04 +0000 2018,341,0.863,0.07,0.067,135,"President Trump acknowledges for the first time that his personal attorney, Michael Cohen, is representing him with… https://t.co/djhP2I8iqH",@CNN
CNN,-0.026,Thu Apr 26 15:19:26 +0000 2018,97,0.865,0.069,0.066,42,5 things we learned from the Ronny Jackson debacle https://t.co/7JtTEek18C https://t.co/wkO5EwxEFb,@CNN
CNN,-0.026,Thu Apr 26 15:06:35 +0000 2018,140,0.867,0.068,0.065,40,President Trump and first lady Melania Trump are hosting an event for the Wounded Warrior Project in the East Room… https://t.co/023Oi6lA0y,@CNN
CNN,-0.025,Thu Apr 26 15:05:22 +0000 2018,202,0.866,0.069,0.065,68,"James Comey thinks Donald Trump is empty, desperate for affirmation and lacks the confidence to be humble -- but he… https://t.co/khja8JYlYj",@CNN
